bestand_id,hogstkl_verdi,bonitet,treslag,arealm2,alder,DN,srhoydeo,srtrean,srgrflate,srvolmb,srvolub,AU,Ht40,height,yearly_height_growth,N_per_hectare,delta_N_per_hectare,G1,G2,volume_per_hectare,volume_per_hectare_next_year,volume_per_hectare_without_bark,volume,volume_next_year,volume_growth_next_year,volume_growth_factor,volume_without_bark,avg_price_m3,gross_value_standing_volume,gross_value_yearly_growth,years_to_maturity,volume_at_maturity,volume_at_maturity_without_bark,gross_value_at_maturity,NPV,carbon_stored,carbon_captured_next_year
1-307,5,11,Furu,7219,110,19,184.3358589,849.9685756,20.02456285,157.6745396,135.6216771,0,8.3,18.43358589,0.111266262,849.9685756,-4.314351819,20.02456285,20.27131526,168.5465298,171.5292675,146.6354809,121.6737398,123.8269782,2.153238405,0.01769682109,105.8561537,691.2333333,73171.30194,1294.899439,0,121.6737398,105.8561537,73171.30194,73171.30194,150708.136,2667.054919
1-311,5,11,Furu,9645,110,14,192.2977737,624.8555749,16.9449728,141.0683831,121.1804761,0,8.3,19.22977737,0.1142122527,624.8555749,-1.96210512,16.9449728,17.18462936,149.0216225,151.9097739,129.6488115,143.7313549,146.5169769,2.78562204,0.01938075406,125.0462787,691.2333333,86436.15607,1675.197883,1,148.5063142,129.2004934,89307.68771,86706.49292,178029.2494,3450.341099
1-300,4,14,Furu,12333,70,25,195.7052671,939.7771234,22.90775771,187.4255109,161.6963181,0,11.1,19.57052671,0.2220110056,939.7771234,-3.272466724,22.90775771,23.37266916,200.6688367,206.8221834,174.581888,247.4848763,255.0737988,7.588922423,0.03066418658,215.3118424,698.9333333,150488.6237,4614.611236,1,260.0171509,226.2149213,158109.149,153504.0281,306540.9549,9399.829037
1-304,3,14,Furu,23209,40,27,165.3616473,1160.908918,20.12003234,139.6341821,119.1912863,0,11.1,16.53616473,0.4024621525,1160.908918,-0.6592141439,20.12003234,20.96689023,148.3787139,158.0597417,129.0894811,344.3721571,366.8408546,22.46869749,0.06524539521,299.6037767,698.9333333,209403.0663,13662.58582,21,891.4220952,775.5372229,542048.8163,291377.9487,426547.9631,27830.29042
1-306,3,14,Furu,26311,40,20,150.142529,914.2015233,16.43542255,109.4399328,93.68450869,0,11.1,15.0142529,0.3764094824,914.2015233,-0.3569240796,16.43542255,17.18112456,111.6555104,119.3814017,97.14029405,293.7768134,314.104406,20.32759256,0.06919399908,255.5858277,698.9333333,178637.4545,12360.63986,23,859.145708,747.456766,522422.449,264707.1441,363879.3055,25178.26433
1-309,3,14,Gran,25862,40,17,165.0149902,1437.728902,21.82740198,150.7263857,128.0557679,0,10.1,16.50149902,0.3232414486,1437.728902,-13.42563977,21.82740198,22.54339249,156.7166433,165.6329124,136.3434797,405.3005829,428.359838,23.05925514,0.0568942067,352.6115071,724.4666667,255455.2832,14533.92568,19,908.338338,790.2543541,572512.9377,326496.1286,502015.4345,28561.76989
1-302,3,17,Gran,29268,40,33,188.6961643,1259.087741,23.69184977,186.8933259,160.4654531,0,13.1,18.86961643,0.3671825188,1259.087741,-15.19289955,23.69184977,24.42372876,197.2377925,207.9892476,171.5968795,577.2755712,608.7429299,31.46735873,0.05451011666,502.2297469,732.8166667,368042.329,20062.03029,18,1216.491852,1058.347912,775574.9887,455568.5662,715027.9544,38976.25721
1-301,4,14,Gran,17816,60,30,190.3802412,1303.581942,25.45002873,209.5712185,180.0612846,0,10.1,19.03802412,0.2350025421,1303.581942,-15.12816635,25.45002873,25.92707194,211.9588635,219.1004416,184.4042113,377.6259113,390.3493468,12.72343555,0.03369322699,328.5345428,724.4666667,238012.3251,8019.403296,4,437.6571002,380.7616772,275849.1431,245088.3908,467736.8944,15759.56535
1-308,3,17,Gran,25731,33,22,152.9790268,1450.497995,19.85181619,119.6526941,100.3214851,0,13.1,15.29790268,0.367392317,1450.497995,-16.1883097,19.85181619,20.6942567,131.7619415,141.2795711,114.6328891,339.0366516,363.5264643,24.4898127,0.07223352573,294.9618869,732.8166667,216152.9868,15613.49233,24,1050.796402,914.1928694,669935.7712,329564.0071,419939.2726,30333.69425
1-310,3,17,Furu,6285,25,16,135.0431854,1105.53627,15.04713431,83.6417005,70.14367496,0,13.9,13.50431854,0.5929825777,1105.53627,-0.2461262056,15.04713431,16.21514408,90.20875967,101.1947246,78.48162092,56.69620545,63.60088443,6.904678977,0.1217837935,49.32569875,706.6333333,34855.18292,4244.7964,28,325.9009533,283.5338294,200354.455,87570.27466,70225.33748,8552.307998
1-312,2,14,Furu,6364,25,15,124.0232977,789.4348315,11.36871743,61.91190323,52.37009764,0,11.1,12.40232977,0.5560122664,789.4348315,-0.04076562387,11.36871743,12.34184551,63.59945564,71.91429827,55.33152641,40.47469357,45.76625942,5.291565852,0.1307376384,35.21298341,698.9333333,24611.52787,3217.653031,32,302.2315117,262.9414152,183778.5198,71368.00532,50132.96732,6554.265753
1-305,4,11,Furu,43258,80,24,173.7516711,1029.184207,19.72850092,146.5469098,125.865255,0,8.3,17.37516711,0.1714730833,1029.184207,-2.073759028,19.72850092,20.11361425,156.2837638,160.7273062,135.9668745,676.0523057,695.2741814,19.2218757,0.02843252739,588.1655059,691.2333333,406559.6032,11559.51706,1,708.2578788,616.1843545,425927.1653,413521.5198,837375.2871,23808.69579
1-296,3,14,Gran,135110,55,49,183.4923897,1597.380248,26.77780154,210.3107556,180.4341841,0,10.1,18.34923897,0.251491991,1597.380248,-18.99989904,26.77780154,27.3159824,217.2610976,225.2039107,189.0171549,2935.41469,3042.730038,107.3153485,0.03655883744,2553.81078,724.4666667,1850150.783,67639.36171,7,3774.879085,3284.144804,2379253.439,1934550.775,3635878.02,132923.4735
1-286,4,14,Furu,5347,70,44,199.3210546,1756.788368,33.90947395,309.1894791,267.3705312,0,11.1,19.93210546,0.2244202323,1756.788368,-16.20440743,33.90947395,34.38237574,298.4095844,305.6818993,259.6163384,159.5596048,163.4481115,3.888506774,0.02437024571,138.8168561,698.9333333,97023.72799,2364.492091,1,165.6251129,144.0938483,100711.9937,97778.63463,197634.5155,4816.401703
1-299,3,14,Furu,59732,40,38,164.1812896,1843.285862,24.75791207,165.5020367,139.7453735,0,11.1,16.41812896,0.4005206412,1843.285862,-2.160380935,24.75791207,25.71043208,180.2260718,191.348961,156.7966825,1076.526372,1142.965614,66.43924175,0.06171631598,936.5779438,698.9333333,654605.5442,40399.84261,18,2416.718135,2102.544778,1469538.63,863199.067,1333412.478,82293.30581
1-285,3,14,Gran,16521,55,47,179.8781244,1619.950884,26.05626542,200.6282278,171.1559734,0,10.1,17.98781244,0.2468738105,1619.950884,-19.39675311,26.05626542,26.5904438,206.3461761,213.991098,179.5211732,340.9045175,353.534693,12.63017542,0.03704901159,296.5869303,724.4666667,214867.3447,7960.622746,7,439.8957867,382.7093344,277260.1558,225437.8791,422252.858,15644.05103
1-287,4,17,Gran,13353,55,43,190.8185444,1564.262006,27.59092973,228.7734805,196.5777238,0,13.1,19.08185444,0.2608383768,1564.262006,-30.02495336,27.59092973,28.1284891,233.9530172,242.3291798,203.539125,312.3974639,323.5821538,11.18468993,0.03580275521,271.7857936,732.8166667,199169.1593,7130.804655,6,388.0605325,337.6126632,247408.1865,207200.4612,386943.3087,13853.63656
1-292,4,17,Gran,22325,55,42,204.6925635,1550.750751,29.31331559,262.134432,225.9785295,0,13.1,20.46925635,0.2784870252,1550.750751,-29.59313889,29.31331559,29.85754511,269.2894346,278.6242666,234.2818081,601.1886628,622.0286753,20.84001244,0.0346646797,523.0341367,732.8166667,383288.1326,13286.56035,5,720.1929483,626.567865,459159.3743,396074.9097,744647.3075,25812.9604
1-290,3,17,Gran,3994,45,37,195.5571297,1259.214205,24.59201784,200.4513616,172.3675373,0,13.1,19.55571297,0.3344521636,1259.214205,-16.87987506,24.59201784,25.24335655,212.0862582,222.09295,184.5150447,84.70725154,88.70392422,3.996672678,0.04718217869,73.69530884,732.8166667,54005.15057,2548.080664,14,146.7678024,127.6879881,93571.88579,61862.03982,104920.5194,4950.378696
1-293,4,20,Gran,4579,45,36,226.6741128,1313.368746,32.16414795,329.4563328,286.8496398,0,15.9,22.66741128,0.3845884457,1313.368746,-27.23834568,32.16414795,32.85577254,335.3319299,349.1468283,291.738779,153.5484907,159.8743327,6.32584196,0.04119768244,133.5871869,718.9,96035.82868,3956.453573,10,222.3789253,193.469665,139085.3422,103492.5568,190188.9993,7835.345998
1-303,5,14,Gran,1663,115,23,247.4028098,1000.452756,31.60043227,329.231241,286.9304845,0,10.1,24.74028098,0.1164128919,1000.452756,-21.74529769,31.60043227,31.79213339,347.9155886,351.9510013,302.686562,57.85836238,58.52945151,0.6710891353,0.01159882699,50.33677527,724.4666667,36467.31579,422.9780867,0,57.85836238,50.33677527,36467.31579,36467.31579,71664.8141,831.2277802
1-298,5,14,Gran,4250,115,26,246.7847893,1003.228496,31.52684717,327.8835998,285.7349035,0,10.1,24.67847893,0.1161603972,1003.228496,-21.84958792,31.52684717,31.71850152,346.1069015,350.126956,301.1130043,147.0954331,148.8039563,1.708523178,0.0116150661,127.9730268,724.4666667,92712.19217,1076.85824,0,147.0954331,127.9730268,92712.19217,92712.19217,182196.0809,2116.219522
